Points,17-21,22-26,27-31,32-36,37-41,42-46,47-51,52-56,57-61,62+
100,340,340,340,340,340,340,330,290,250,230
99,330,330,330,330,330,330,320,280,240,220
98,---,---,---,---,---,---,310,270,230,210
97,---,---,---,---,---,320,300,260,220,---
96,320,---,---,---,---,310,290,250,210,---
95,310,---,---,---,320,300,280,240,---,200
94,---,---,---,---,310,290,270,230,200,190
93,300,---,---,320,300,280,260,220,190,180
92,---,320,---,---,290,270,250,---,---,170
91,290,---,320,310,280,260,240,---,180,---
90,280,310,310,300,270,---,230,210,---,---
89,---,290,300,290,---,250,220,---,170,---
88,---,280,290,280,260,---,---,200,---,---
87,270,---,280,270,---,240,210,---,---,---
86,---,270,---,---,250,---,---,190,---,---
85,---,---,270,260,---,230,200,180,---,---
84,260,260,260,---,240,220,---,170,---,---
83,250,---,---,250,---,---,190,---,---,---
82,240,---,---,---,230,---,---,---,---,160
81,---,250,250,240,220,210,180,---,---,---
80,---,---,---,---,---,---,170,---,---,---
79,230,240,240,230,---,200,---,160,160,---
78,---,---,---,---,210,---,160,---,---,---
77,220,230,230,220,---,190,---,---,---,---
76,---,---,---,---,200,180,---,---,---,---
75,---,220,220,210,---,170,---,---,---,---
74,210,---,---,---,190,---,---,---,---,---
73,---,210,210,200,---,160,---,---,---,---
72,200,---,---,---,180,---,---,---,---,150
71,---,200,200,190,170,---,---,---,150,---
70,---,190,190,180,160,---,150,150,---,---
69,190,180,180,170,---,150,---,---,---,---
68,180,---,170,160,150,---,---,---,---,---
67,170,170,---,---,---,---,---,---,---,---
66,---,---,---,150,---,---,---,---,---,---
65,---,160,160,---,---,---,---,---,---,---
64,160,---,---,---,---,---,---,---,---,---
63,---,---,150,---,---,---,---,---,---,---
62,---,---,---,---,---,---,---,---,---,---
61,150,150,---,---,---,---,---,---,---,---
60,140,140,140,140,140,140,140,140,140,140
50,130,130,130,130,130,130,130,130,130,130
40,120,120,120,120,120,120,120,120,120,120
30,110,110,110,110,110,110,110,110,110,110
20,100,100,100,100,100,100,100,100,100,100
10,90,90,90,90,90,90,90,90,90,90
0,80,80,80,80,80,80,80,80,80,80
